pair,script,backend,rows_compared,top_mean_diff_idxs,top_mean_diff_vals,top_std_diff_idxs,top_std_diff_vals,stats_csv,histograms
log_script_2025-11-11T20-45-31.json__log_backend_2025-11-11T20-45-31.json,log_script_2025-11-11T20-45-31.json,static\debug_logs\log_backend_2025-11-11T20-45-31.json,39,"[107, 106, 41, 39, 37, 1]","[0.6666666865348816, 0.6631118655204773, 0.5111687779426575, 0.5085815787315369, 0.5013965964317322, 0.4960549771785736]","[105, 103, 102, 104, 107, 106]","[5.808662414550781, 5.704787254333496, 4.441267013549805, 2.6806387901306152, 0.4714046120643616, 0.44418174028396606]",log_script_2025-11-11T20-45-31__log_backend_2025-11-11T20-45-31_stats.csv,"['log_script_2025-11-11T20-45-31__log_backend_2025-11-11T20-45-31_hist_idx107.png', 'log_script_2025-11-11T20-45-31__log_backend_2025-11-11T20-45-31_hist_idx106.png', 'log_script_2025-11-11T20-45-31__log_backend_2025-11-11T20-45-31_hist_idx41.png', 'log_script_2025-11-11T20-45-31__log_backend_2025-11-11T20-45-31_hist_idx39.png', 'log_script_2025-11-11T20-45-31__log_backend_2025-11-11T20-45-31_hist_idx37.png', 'log_script_2025-11-11T20-45-31__log_backend_2025-11-11T20-45-31_hist_idx1.png']"
log_script_2025-11-11T20-45-32.json__log_backend_2025-11-11T20-45-31.json,log_script_2025-11-11T20-45-32.json,static\debug_logs\log_backend_2025-11-11T20-45-31.json,39,"[107, 106, 103, 41, 39, 37]","[0.5384615659713745, 0.5300471782684326, 0.47033780813217163, 0.4094094932079315, 0.4075072407722473, 0.4025278091430664]","[105, 103, 102, 104, 108, 97]","[5.808662414550781, 3.6672372817993164, 2.7094273567199707, 2.6806387901306152, 0.2664693295955658, 0.14880631864070892]",log_script_2025-11-11T20-45-32__log_backend_2025-11-11T20-45-31_stats.csv,"['log_script_2025-11-11T20-45-32__log_backend_2025-11-11T20-45-31_hist_idx107.png', 'log_script_2025-11-11T20-45-32__log_backend_2025-11-11T20-45-31_hist_idx106.png', 'log_script_2025-11-11T20-45-32__log_backend_2025-11-11T20-45-31_hist_idx103.png', 'log_script_2025-11-11T20-45-32__log_backend_2025-11-11T20-45-31_hist_idx41.png', 'log_script_2025-11-11T20-45-32__log_backend_2025-11-11T20-45-31_hist_idx39.png', 'log_script_2025-11-11T20-45-32__log_backend_2025-11-11T20-45-31_hist_idx37.png']"
log_script_2025-11-11T20-45-33.json__log_backend_2025-11-11T20-45-34.json,log_script_2025-11-11T20-45-33.json,static\debug_logs\log_backend_2025-11-11T20-45-34.json,42,"[103, 102, 97, 105, 104, 108]","[0.42489826679229736, 0.3827502727508545, 0.21501219272613525, 0.20868456363677979, 0.1949649602174759, 0.190476194024086]","[105, 103, 102, 104, 108, 83]","[5.968764781951904, 5.66340446472168, 4.230527877807617, 2.492851734161377, 0.3926766514778137, 0.24789263308048248]",log_script_2025-11-11T20-45-33__log_backend_2025-11-11T20-45-34_stats.csv,"['log_script_2025-11-11T20-45-33__log_backend_2025-11-11T20-45-34_hist_idx103.png', 'log_script_2025-11-11T20-45-33__log_backend_2025-11-11T20-45-34_hist_idx102.png', 'log_script_2025-11-11T20-45-33__log_backend_2025-11-11T20-45-34_hist_idx97.png', 'log_script_2025-11-11T20-45-33__log_backend_2025-11-11T20-45-34_hist_idx105.png', 'log_script_2025-11-11T20-45-33__log_backend_2025-11-11T20-45-34_hist_idx104.png', 'log_script_2025-11-11T20-45-33__log_backend_2025-11-11T20-45-34_hist_idx108.png']"
log_script_2025-11-11T20-45-34.json__log_backend_2025-11-11T20-45-34.json,log_script_2025-11-11T20-45-34.json,static\debug_logs\log_backend_2025-11-11T20-45-34.json,42,"[103, 102, 97, 105, 104, 108]","[0.4253957271575928, 0.38142967224121094, 0.21651148796081543, 0.20868456363677979, 0.1949649602174759, 0.190476194024086]","[105, 103, 102, 104, 108, 83]","[5.968764781951904, 5.663487434387207, 4.230216026306152, 2.492851734161377, 0.3926766514778137, 0.24789263308048248]",log_script_2025-11-11T20-45-34__log_backend_2025-11-11T20-45-34_stats.csv,"['log_script_2025-11-11T20-45-34__log_backend_2025-11-11T20-45-34_hist_idx103.png', 'log_script_2025-11-11T20-45-34__log_backend_2025-11-11T20-45-34_hist_idx102.png', 'log_script_2025-11-11T20-45-34__log_backend_2025-11-11T20-45-34_hist_idx97.png', 'log_script_2025-11-11T20-45-34__log_backend_2025-11-11T20-45-34_hist_idx105.png', 'log_script_2025-11-11T20-45-34__log_backend_2025-11-11T20-45-34_hist_idx104.png', 'log_script_2025-11-11T20-45-34__log_backend_2025-11-11T20-45-34_hist_idx108.png']"
log_script_2025-11-11T20-45-35.json__log_backend_2025-11-11T20-45-34.json,log_script_2025-11-11T20-45-35.json,static\debug_logs\log_backend_2025-11-11T20-45-34.json,42,"[103, 106, 102, 107, 34, 26]","[0.4241531789302826, 0.3955499529838562, 0.38151660561561584, 0.3571428656578064, 0.3098413944244385, 0.30298101902008057]","[105, 103, 102, 104, 108, 107]","[5.968764781951904, 5.663175582885742, 4.230228424072266, 2.492851734161377, 0.3926766514778137, 0.2778869867324829]",log_script_2025-11-11T20-45-35__log_backend_2025-11-11T20-45-34_stats.csv,"['log_script_2025-11-11T20-45-35__log_backend_2025-11-11T20-45-34_hist_idx103.png', 'log_script_2025-11-11T20-45-35__log_backend_2025-11-11T20-45-34_hist_idx106.png', 'log_script_2025-11-11T20-45-35__log_backend_2025-11-11T20-45-34_hist_idx102.png', 'log_script_2025-11-11T20-45-35__log_backend_2025-11-11T20-45-34_hist_idx107.png', 'log_script_2025-11-11T20-45-35__log_backend_2025-11-11T20-45-34_hist_idx34.png', 'log_script_2025-11-11T20-45-35__log_backend_2025-11-11T20-45-34_hist_idx26.png']"
log_script_2025-11-11T20-45-36.json__log_backend_2025-11-11T20-45-37.json,log_script_2025-11-11T20-45-36.json,static\debug_logs\log_backend_2025-11-11T20-45-37.json,45,"[107, 106, 34, 26, 36, 18]","[0.3999999761581421, 0.39002180099487305, 0.34881874918937683, 0.34102529287338257, 0.3329957127571106, 0.32961219549179077]","[103, 102, 105, 104, 108, 107]","[7.491992950439453, 5.651271343231201, 5.596607208251953, 2.5119152069091797, 0.4157397150993347, 0.3465080261230469]",log_script_2025-11-11T20-45-36__log_backend_2025-11-11T20-45-37_stats.csv,"['log_script_2025-11-11T20-45-36__log_backend_2025-11-11T20-45-37_hist_idx107.png', 'log_script_2025-11-11T20-45-36__log_backend_2025-11-11T20-45-37_hist_idx106.png', 'log_script_2025-11-11T20-45-36__log_backend_2025-11-11T20-45-37_hist_idx34.png', 'log_script_2025-11-11T20-45-36__log_backend_2025-11-11T20-45-37_hist_idx26.png', 'log_script_2025-11-11T20-45-36__log_backend_2025-11-11T20-45-37_hist_idx36.png', 'log_script_2025-11-11T20-45-36__log_backend_2025-11-11T20-45-37_hist_idx18.png']"
log_script_2025-11-11T20-45-37.json__log_backend_2025-11-11T20-45-37.json,log_script_2025-11-11T20-45-37.json,static\debug_logs\log_backend_2025-11-11T20-45-37.json,45,"[97, 105, 108, 104, 34, 99]","[0.253784716129303, 0.231385737657547, 0.2222222238779068, 0.1948998123407364, 0.14384391903877258, 0.1436605453491211]","[103, 102, 105, 104, 108, 97]","[7.494298458099365, 5.656836032867432, 5.596607208251953, 2.5119152069091797, 0.4157397150993347, 0.25489863753318787]",log_script_2025-11-11T20-45-37__log_backend_2025-11-11T20-45-37_stats.csv,"['log_script_2025-11-11T20-45-37__log_backend_2025-11-11T20-45-37_hist_idx97.png', 'log_script_2025-11-11T20-45-37__log_backend_2025-11-11T20-45-37_hist_idx105.png', 'log_script_2025-11-11T20-45-37__log_backend_2025-11-11T20-45-37_hist_idx108.png', 'log_script_2025-11-11T20-45-37__log_backend_2025-11-11T20-45-37_hist_idx104.png', 'log_script_2025-11-11T20-45-37__log_backend_2025-11-11T20-45-37_hist_idx34.png', 'log_script_2025-11-11T20-45-37__log_backend_2025-11-11T20-45-37_hist_idx99.png']"
log_script_2025-11-11T20-45-38.json__log_backend_2025-11-11T20-45-37.json,log_script_2025-11-11T20-45-38.json,static\debug_logs\log_backend_2025-11-11T20-45-37.json,45,"[97, 105, 108, 104, 106, 99]","[0.2584875226020813, 0.231385737657547, 0.2222222238779068, 0.1948998123407364, 0.15938931703567505, 0.1475679874420166]","[103, 102, 105, 104, 108, 97]","[7.495813369750977, 5.658504486083984, 5.596607208251953, 2.5119152069091797, 0.4157397150993347, 0.25246602296829224]",log_script_2025-11-11T20-45-38__log_backend_2025-11-11T20-45-37_stats.csv,"['log_script_2025-11-11T20-45-38__log_backend_2025-11-11T20-45-37_hist_idx97.png', 'log_script_2025-11-11T20-45-38__log_backend_2025-11-11T20-45-37_hist_idx105.png', 'log_script_2025-11-11T20-45-38__log_backend_2025-11-11T20-45-37_hist_idx108.png', 'log_script_2025-11-11T20-45-38__log_backend_2025-11-11T20-45-37_hist_idx104.png', 'log_script_2025-11-11T20-45-38__log_backend_2025-11-11T20-45-37_hist_idx106.png', 'log_script_2025-11-11T20-45-38__log_backend_2025-11-11T20-45-37_hist_idx99.png']"
log_script_2025-11-11T20-45-39.json__log_backend_2025-11-11T20-45-37.json,log_script_2025-11-11T20-45-39.json,static\debug_logs\log_backend_2025-11-11T20-45-37.json,45,"[107, 106, 41, 39, 35, 37]","[0.3777778148651123, 0.34629589319229126, 0.29153382778167725, 0.2886490821838379, 0.28503546118736267, 0.2844295799732208]","[103, 102, 105, 104, 97, 108]","[7.496400833129883, 5.659141540527344, 3.568652868270874, 1.8594423532485962, 0.18160898983478546, 0.16629590094089508]",log_script_2025-11-11T20-45-39__log_backend_2025-11-11T20-45-37_stats.csv,"['log_script_2025-11-11T20-45-39__log_backend_2025-11-11T20-45-37_hist_idx107.png', 'log_script_2025-11-11T20-45-39__log_backend_2025-11-11T20-45-37_hist_idx106.png', 'log_script_2025-11-11T20-45-39__log_backend_2025-11-11T20-45-37_hist_idx41.png', 'log_script_2025-11-11T20-45-39__log_backend_2025-11-11T20-45-37_hist_idx39.png', 'log_script_2025-11-11T20-45-39__log_backend_2025-11-11T20-45-37_hist_idx35.png', 'log_script_2025-11-11T20-45-39__log_backend_2025-11-11T20-45-37_hist_idx37.png']"
log_script_2025-11-11T20-45-40.json__log_backend_2025-11-11T20-45-42.json,log_script_2025-11-11T20-45-40.json,static\debug_logs\log_backend_2025-11-11T20-45-42.json,48,"[107, 41, 39, 37, 1, 35]","[0.5208333134651184, 0.3982376158237457, 0.39658233523368835, 0.39102086424827576, 0.38871344923973083, 0.3856624662876129]","[103, 102, 105, 104, 107, 41]","[7.151021957397461, 5.504239082336426, 3.4336495399475098, 1.8250302076339722, 0.4995657205581665, 0.38876259326934814]",log_script_2025-11-11T20-45-40__log_backend_2025-11-11T20-45-42_stats.csv,"['log_script_2025-11-11T20-45-40__log_backend_2025-11-11T20-45-42_hist_idx107.png', 'log_script_2025-11-11T20-45-40__log_backend_2025-11-11T20-45-42_hist_idx41.png', 'log_script_2025-11-11T20-45-40__log_backend_2025-11-11T20-45-42_hist_idx39.png', 'log_script_2025-11-11T20-45-40__log_backend_2025-11-11T20-45-42_hist_idx37.png', 'log_script_2025-11-11T20-45-40__log_backend_2025-11-11T20-45-42_hist_idx1.png', 'log_script_2025-11-11T20-45-40__log_backend_2025-11-11T20-45-42_hist_idx35.png']"
